clade_name,A23,A24,A25,A26,A27,A28,A29,A30,A31
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_hyointestinalis|t__SGB25267,0.03151,0.06702,0.65022,0,0.07103,0,0.23369,0,2.3862
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011|s__GGB80011_SGB15267|t__SGB15267,0,0,0,0,0,0.6784,0.792,0.19434,1.73127
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716|s__GGB9716_SGB15269|t__SGB15269,0.19915,1.70144,0,0.2236,0,0.37517,0.72052,0,0.01759
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB37323|s__GGB37323_SGB42690|t__SGB42690,0,1.37015,0,1.8392,0,0.00658,0.01131,0,0
k__Bacteria|p__Bacteroidetes|c__CFGB654|o__OFGB654|f__FGB654|g__GGB74217|s__GGB74217_SGB48135|t__SGB48135,0.02016,0,0.08117,0,0,0,3.01615,0,0
k__Bacteria|p__Bacteroidetes|c__CFGB11415|o__OFGB11415|f__FGB11415|g__GGB50186|s__GGB50186_SGB70252|t__SGB70252,0,0,0,0,0,0.03714,0,0,3.07018
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pectinovora|t__SGB1662,0.14384,0.3897,0.01393,0.67826,1.26719,0.16584,0.03864,0.33689,0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus|t__SGB385,0.03757,0.10048,0.099,0.98931,0.11201,0.18614,0.36465,0.31612,0.78996
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_multacida|t__SGB5906,0,0,0,0.57017,0.55221,1.84384,0,0.02422,0
k__Bacteria|p__Bacteroidetes|c__CFGB653|o__OFGB653|f__FGB653|g__GGB1615|s__GGB1615_SGB2212|t__SGB2212,0.20904,0.53142,0.21649,0.03468,0.06587,0.24753,0.69097,0.13166,0.86003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3280|s__GGB3280_SGB4333|t__SGB4333,0,0,0,0,2.93564,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__SGB14535_group,0,1.44529,1.00221,0.04566,0.09885,0.10161,0.1545,0.01098,0.07503
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Bullifex|s__Bullifex_porci|t__SGB80175,0.03646,0.00686,0.03323,0.0842,0.00275,0,2.55603,0.20606,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_SGB4573|t__SGB4573,0.21704,1.63641,0.1377,0.72347,0.00162,0.14533,0.05535,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_porcorum|t__SGB14982,0,0,0,0.46597,0,0.03368,0.48901,0.02915,1.86408
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3859|s__GGB3859_SGB5234|t__SGB5234,0.10918,0.24225,0.55092,0.47956,0.21779,0.98368,0.17874,0.01399,0.04664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635|s__GGB9635_SGB15103|t__SGB15103,0,0,0,0,0.31103,1.64716,0.11194,0.0042,0.58745
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB13690|s__GGB13690_SGB21046|t__SGB21046,0,0.08852,0.04132,0,0,0,0.00879,0.04075,2.44244
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger|t__SGB15467,0.31279,0.19262,0.56414,0.28004,0.00565,0.05933,0.3247,0.11154,0.75149
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_SGB14313|t__SGB14313,0.00137,1.31235,0.92402,0.03922,0.30058,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__CFGB529|o__OFGB529|f__FGB529|g__GGB1093|s__GGB1093_SGB1404|t__SGB1404,0.50357,0.02062,0.22127,0.06895,1.56323,0.18742,0,0,0.01038
